dateTime,crimeType,location,latitude,longitude,severity,data_type
2019-01-01 06:21:46,Vehicle Theft,Barangay 43,14.6068,120.968,Immediate,historical
2019-01-01 09:13:29,Vandalism,Barangay 41,14.608,120.9695,Low,historical
2019-01-01 14:17:10,Harassment,Barangay 43,14.6068,120.968,High,historical
2019-01-01 15:01:42,Fraud,Barangay 41,14.608,120.9695,Moderate,historical
2019-01-01 16:33:21,Breaking and Entering,Barangay 41,14.608,120.9695,Low,historical
2019-01-01 20:25:58,Breaking and Entering,Barangay 43,14.6068,120.968,Moderate,historical
2019-01-02 00:25:45,Theft,Barangay 41,14.608,120.9695,Low,historical
2019-01-02 01:00:35,Breaking and Entering,Barangay 41,14.608,120.9695,High,historical
2019-01-02 05:21:56,Theft,Barangay 41,14.608,120.9695,Low,historical
2019-01-02 05:50:16,Breaking and Entering,Barangay 43,14.6068,120.968,Moderate,historical
2019-01-02 07:00:05,Vandalism,Barangay 43,14.6068,120.968,Low,historical
2019-01-02 07:51:41,Harassment,Barangay 43,14.6068,120.968,Low,historical
2019-01-02 10:34:05,Vehicle Theft,Barangay 43,14.6068,120.968,High,historical
2019-01-02 20:28:57,Theft,Barangay 43,14.6068,120.968,Low,historical
2019-01-02 20:47:05,Theft,Barangay 41,14.608,120.9695,Moderate,historical
2019-01-02 22:46:52,Assault,Barangay 43,14.6068,120.968,Low,historical
2019-01-02 23:48:44,Vehicle Theft,Barangay 43,14.6068,120.968,High,historical
2019-01-03 03:20:24,Theft,Barangay 43,14.6068,120.968,Moderate,historical
2019-01-03 04:14:22,Theft,Barangay 43,14.6068,120.968,Moderate,historical
2019-01-03 04:16:00,Drug Related,Barangay 43,14.6068,120.968,Moderate,historical
2019-01-03 06:17:05,Drug Related,Barangay 43,14.6068,120.968,High,historical
2019-01-03 07:32:29,Harassment,Barangay 43,14.6068,120.968,Moderate,historical
2019-01-03 11:22:27,Breaking and Entering,Barangay 41,14.608,120.9695,Moderate,historical
2019-01-03 13:09:47,Domestic Violence,Barangay 43,14.6068,120.968,High,historical
2019-01-03 16:27:16,Theft,Barangay 41,14.608,120.9695,Moderate,historical
2019-01-03 23:53:01,Harassment,Barangay 41,14.608,120.9695,Low,historical
2019-01-04 00:29:25,Assault,Barangay 43,14.6068,120.968,High,historical
